"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"283"	"25"	"second"	-1	"-1"	-1.06413040966505	"Instructions"	0.733959572697478	"Expected"
"284"	"25"	"second"	0	"0"	0	"Instructions"	0.699007060320262	"Expected"
"285"	"25"	"second"	1	"1"	1.09453231215461	"Instructions"	0.704475186077765	"Expected"
"286"	"25"	"second"	2	"2"	2.15847128479618	"Instructions"	0.680121053005992	"Expected"
"287"	"25"	"second"	3	"3"	3.2524185571131	"Instructions"	0.705211505922765	"Expected"
"288"	"25"	"second"	4	"640"	8.73954036549999	"Instructions"	0.72058823977682	"Expected"
"289"	"26"	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.86443936941198	"Expected"
"290"	"26"	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.889349131795897	"Expected"
"291"	"26"	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	0.815906415090392	"Expected"
"292"	"26"	"first"	0	"0"	0	"No_instructions"	0.750171247127583	"Expected"
