"participant"	"Vis_Degs"	"half"	"condition"	"mean_acc"	"acc_type"
"21"	7.2569822436058	"second"	"Instructions"	0.694444444444444	"Actual"
"21"	8.34647373315161	"first"	"Instructions"	0.694444444444444	"Actual"
"21"	8.34647373315161	"second"	"Instructions"	0.852941176470588	"Actual"
"21"	8.61861830002437	"first"	"Instructions"	0.705882352941177	"Actual"
"21"	8.61861830002437	"second"	"Instructions"	0.515151515151515	"Actual"
"21"	9.40425611014671	"first"	"Instructions"	0.696969696969697	"Actual"
"21"	9.40425611014671	"second"	"Instructions"	0.702702702702703	"Actual"
"21"	10.4905859172902	"first"	"Instructions"	0.787878787878788	"Actual"
"21"	10.4905859172902	"second"	"Instructions"	0.72972972972973	"Actual"
"21"	11.5449319601529	"first"	"Instructions"	0.777777777777778	"Actual"
"21"	11.5449319601529	"second"	"Instructions"	0.657142857142857	"Actual"
"21"	19.2750762258619	"first"	"Instructions"	0.789473684210526	"Actual"
"21"	19.2750762258619	"second"	"Instructions"	0.578947368421053	"Actual"
"22"	4.25468778389886	"first"	"No_instructions"	0.75	"Actual"
"22"	4.25468778389886	"second"	"No_instructions"	0.970588235294118	"Actual"
"22"	5.31698604393155	"first"	"No_instructions"	0.911764705882353	"Actual"
"22"	5.31698604393155	"second"	"No_instructions"	0.864864864864865	"Actual"
"22"	6.40868064212841	"first"	"No_instructions"	0.846153846153846	"Actual"
"22"	6.40868064212841	"second"	"No_instructions"	0.789473684210526	"Actual"
"22"	7.46893689837142	"first"	"No_instructions"	0.75	"Actual"
"22"	7.46893689837142	"second"	"No_instructions"	0.794871794871795	"Actual"
"22"	8.55815003810567	"first"	"No_instructions"	0.527777777777778	"Actual"
"22"	8.55815003810567	"second"	"No_instructions"	0.552631578947368	"Actual"
"22"	8.61861830002437	"first"	"No_instructions"	0.424242424242424	"Actual"
"22"	8.61861830002437	"second"	"No_instructions"	0.657894736842105	"Actual"
"22"	9.61562576709552	"first"	"No_instructions"	0.486486486486487	"Actual"
"22"	9.61562576709552	"second"	"No_instructions"	0.769230769230769	"Actual"
"22"	10.7016034364034	"first"	"No_instructions"	0.444444444444444	"Actual"
"22"	10.7016034364034	"second"	"No_instructions"	0.621621621621622	"Actual"
"22"	19.2750762258619	"first"	"No_instructions"	0.424242424242424	"Actual"
"22"	19.2750762258619	"second"	"No_instructions"	0.625	"Actual"
"23"	3.10051236291244	"first"	"Instructions"	1	"Actual"
"23"	3.10051236291244	"second"	"Instructions"	1	"Actual"
"23"	4.16359700070342	"first"	"Instructions"	1	"Actual"
"23"	4.16359700070342	"second"	"Instructions"	1	"Actual"
"23"	5.25630618049436	"first"	"Instructions"	1	"Actual"
"23"	5.25630618049436	"second"	"Instructions"	0.942857142857143	"Actual"
"23"	6.31774781830496	"first"	"Instructions"	1	"Actual"
"23"	6.31774781830496	"second"	"Instructions"	0.871794871794872	"Actual"
"23"	7.40838358398365	"first"	"Instructions"	0.743589743589744	"Actual"
"23"	7.40838358398365	"second"	"Instructions"	0.861111111111111	"Actual"
"23"	8.49767700086819	"first"	"Instructions"	0.725	"Actual"
"23"	8.49767700086819	"second"	"Instructions"	0.594594594594595	"Actual"
"23"	8.61861830002437	"first"	"Instructions"	0.75	"Actual"
"23"	8.61861830002437	"second"	"Instructions"	0.717948717948718	"Actual"
"23"	9.55524106532	"first"	"Instructions"	0.85	"Actual"
"23"	9.55524106532	"second"	"Instructions"	0.710526315789474	"Actual"
"23"	19.2750762258619	"first"	"Instructions"	0.769230769230769	"Actual"
"23"	19.2750762258619	"second"	"Instructions"	0.53125	"Actual"
"24"	3.55619611365376	"first"	"No_instructions"	0.96551724137931	"Actual"
"24"	3.55619611365376	"second"	"No_instructions"	0.967741935483871	"Actual"
"24"	4.64935088054167	"first"	"No_instructions"	0.96875	"Actual"
"24"	4.64935088054167	"second"	"No_instructions"	0.970588235294118	"Actual"
"24"	5.71133091610219	"first"	"No_instructions"	0.84375	"Actual"
"24"	5.71133091610219	"second"	"No_instructions"	0.891891891891892	"Actual"
"24"	6.80262806765538	"first"	"No_instructions"	0.935483870967742	"Actual"
"24"	6.80262806765538	"second"	"No_instructions"	0.916666666666667	"Actual"
"24"	7.86243014136901	"first"	"No_instructions"	0.645161290322581	"Actual"
"24"	7.86243014136901	"second"	"No_instructions"	0.685714285714286	"Actual"
"24"	8.61861830002437	"first"	"No_instructions"	0.65625	"Actual"
"24"	8.61861830002437	"second"	"No_instructions"	0.727272727272727	"Actual"
"24"	8.95110690316547	"first"	"No_instructions"	0.548387096774194	"Actual"
"24"	8.95110690316547	"second"	"No_instructions"	0.59375	"Actual"
"24"	10.0079944015517	"first"	"No_instructions"	0.647058823529412	"Actual"
"24"	10.0079944015517	"second"	"No_instructions"	0.555555555555556	"Actual"
"24"	19.2750762258619	"first"	"No_instructions"	0.485714285714286	"Actual"
"24"	19.2750762258619	"second"	"No_instructions"	0.3	"Actual"
"25"	7.46893689837142	"first"	"Instructions"	0.942857142857143	"Actual"
"25"	7.46893689837142	"second"	"Instructions"	0.833333333333333	"Actual"
"25"	8.52791411433207	"first"	"Instructions"	0.837837837837838	"Actual"
"25"	8.52791411433207	"second"	"Instructions"	0.805555555555556	"Actual"
"25"	8.61861830002437	"first"	"Instructions"	0.842105263157895	"Actual"
