person	Trial	Color	Direction	Subject Position (0-40)	Accuracy (0 OR 1)	condition
2	16	Y	S	0	0	sudoku
2	17	B	S	-5	0	sudoku
2	18	B	S	5	0	sudoku
2	19	G	S	0	1	sudoku
2	20	Y	S	0	0	sudoku
2	21	B	N	-5	0	sudoku
2	22	R	N	0	1	sudoku
2	23	G	S	0	1	sudoku
2	24	R	N	0	1	sudoku
2	25	R	N	0	1	sudoku
2	26	Y	S	0	0	sudoku
2	27	B	N	-9	1	sudoku
2	28	G	S	0	1	sudoku
2	29	B	S	-9	0	sudoku
2	30	Y	N	0	0	sudoku
2	31	R	N	0	1	sudoku
2	32	B	S	9	0	sudoku
2	33	G	S	0	1	sudoku
2	34	G	S	0	0	sudoku
2	35	Y	N	0	0	sudoku
2	36	B	S	-9	0	sudoku
2	37	G	N	0	1	sudoku
2	38	R	N	0	1	sudoku
2	39	R	S	0	1	sudoku
2	40	B	N	9	0	sudoku
2	41	Y	S	0	0	sudoku
2	42	G	S	0	1	sudoku
2	43	R	N	0	1	sudoku
2	44	B	S	9	0	sudoku
2	45	B	S	-9	0	sudoku
2	46	G	S	0	1	sudoku
2	47	R	N	0	1	sudoku
2	48	R	N	0	1	sudoku
3	1	R	N	0	1	sudoku
3	2	B	N	13	0	sudoku
3	3	Y	N	-9	1	sudoku
3	4	R	N	0	1	sudoku
3	5	G	N	0	1	sudoku
3	6	B	S	-13	0	sudoku
3	7	R	S	0	1	sudoku
3	8	R	S	0	1	sudoku
3	9	G	S	0	1	sudoku
3	10	B	N	-13	1	sudoku
3	11	B	S	-13	0	sudoku
3	12	Y	N	9	0	sudoku
3	13	G	N	0	1	sudoku
3	14	R	S	0	1	sudoku
3	15	B	N	13	0	sudoku
3	16	Y	S	-9	0	sudoku
3	17	Y	S	9	1	sudoku
3	18	B	S	13	1	sudoku
3	19	G	N	0	1	sudoku
3	20	Y	N	-9	0	sudoku
3	21	R	N	0	1	sudoku
3	22	B	N	13	0	sudoku
3	23	B	N	13	0	sudoku
3	24	G	S	0	1	sudoku
3	25	Y	S	-9	0	sudoku
3	26	Y	S	9	1	sudoku
3	27	B	S	-13	0	sudoku
3	28	G	S	0	1	sudoku
3	29	R	N	0	1	sudoku
3	30	R	S	0	1	sudoku
3	31	Y	N	9	0	sudoku
3	32	G	S	0	1	sudoku
3	33	B	N	13	0	sudoku
3	34	G	S	0	1	sudoku
3	35	Y	S	-9	0	sudoku
3	36	R	N	0	1	sudoku
3	37	B	N	13	0	sudoku
3	38	B	S	13	0	sudoku
3	39	Y	N	-9	1	sudoku
3	40	G	S	0	1	sudoku
3	41	Y	S	-9	0	sudoku
3	42	R	N	0	1	sudoku
3	43	R	S	0	1	sudoku
3	44	B	S	-13	0	sudoku
3	45	G	N	0	1	sudoku
3	46	G	S	0	1	sudoku
3	47	Y	S	-9	0	sudoku
3	48	B	N	13	0	sudoku
4	1	R	N	0	1	sudoku
4	2	R	S	0	1	sudoku
4	3	G	S	0	1	sudoku
4	4	Y	S	0	0	sudoku
4	5	B	S	5	0	sudoku
4	6	R	S	0	1	sudoku
4	7	G	S	0	1	sudoku
4	8	G	N	0	1	sudoku
4	9	Y	S	0	0	sudoku
4	10	Y	N	0	0	sudoku
4	11	B	S	-5	0	sudoku
4	12	R	N	0	1	sudoku
4	13	Y	S	0	0	sudoku
4	14	B	S	-5	0	sudoku
4	15	B	N	-5	0	sudoku
4	16	Y	N	0	0	sudoku
4	17	R	N	0	1	sudoku
4	18	R	S	0	1	sudoku
4	19	G	S	0	1	sudoku
4	20	G	S	0	1	sudoku
4	21	R	S	0	1	sudoku
4	22	B	S	5	0	sudoku
4	23	B	S	-5	0	sudoku
4	24	Y	N	0	0	sudoku
4	25	G	N	0	1	sudoku
4	26	Y	N	0	0	sudoku
4	27	B	N	5	0	sudoku
4	28	G	N	0	1	sudoku
4	29	R	S	0	1	sudoku
4	30	B	N	-5	0	sudoku
4	31	B	N	5	0	sudoku
4	32	Y	N	0	0	sudoku
4	33	B	N	0	1	sudoku
4	34	B	S	5	0	sudoku
4	35	R	S	0	1	sudoku
4	36	Y	S	0	0	sudoku
4	37	B	N	-5	0	sudoku
4	38	G	N	0	1	sudoku
4	39	G	N	0	1	sudoku
4	40	R	N	0	1	sudoku
4	41	R	N	0	1	sudoku
4	42	Y	S	0	0	sudoku
4	43	B	S	0	0	sudoku
4	44	G	S	0	1	sudoku
4	45	G	S	0	1	sudoku
4	46	R	S	0	1	sudoku
4	47	Y	N	0	0	sudoku
4	48	R	N	0	1	sudoku
5	1	G	N	7	0	table
5	2	Y	S	-10	0	table
5	3	R	S	0	1	table
5	4	G	N	0	0	table
5	5	Y	S	11	1	table
5	6	Y	S	-10	0	table
5	7	R	S	0	1	table
5	8	Y	N	10	0	table
5	9	B	S	-14	0	table
5	10	Y	N	11	0	table
5	11	B	S	-16	0	table
5	12	R	N	0	1	table
5	13	R	S	0	1	table
5	14	R	S	0	1	table
5	15	G	N	3	0	table
5	16	Y	N	-8	1	table
5	17	B	S	16	1	table
5	18	R	S	0	1	table
5	19	B	N	-16	1	table
5	20	B	S	-16	0	table
5	21	B	N	-16	1	table
5	22	B	N	16	0	table
5	23	Y	S	11	1	table
