"participant"	"condition"	"Centre_first_-4_Actual"	"Centre_first_-3_Actual"	"Centre_first_-2_Actual"	"Centre_first_-1_Actual"	"Centre_first_0_Actual"	"Centre_first_1_Actual"	"Centre_first_2_Actual"	"Centre_first_3_Actual"	"Centre_first_4_Actual"	"Centre_second_-4_Actual"	"Centre_second_-3_Actual"	"Centre_second_-2_Actual"	"Centre_second_-1_Actual"	"Centre_second_0_Actual"	"Centre_second_1_Actual"	"Centre_second_2_Actual"	"Centre_second_3_Actual"	"Centre_second_4_Actual"	"Side_first_-4_Actual"	"Side_first_-3_Actual"	"Side_first_-2_Actual"	"Side_first_-1_Actual"	"Side_first_0_Actual"	"Side_first_1_Actual"	"Side_first_2_Actual"	"Side_first_3_Actual"	"Side_first_4_Actual"	"Side_second_-4_Actual"	"Side_second_-3_Actual"	"Side_second_-2_Actual"	"Side_second_-1_Actual"	"Side_second_0_Actual"	"Side_second_1_Actual"	"Side_second_2_Actual"	"Side_second_3_Actual"	"Side_second_4_Actual"
"20"	"No_instructions"	0.666666666666667	0.631578947368421	0.619047619047619	0.928571428571429	0.928571428571429	0.964285714285714	1	0.9	1	0.684210526315789	0.807692307692308	0.833333333333333	1	0.838709677419355	0.882352941176471	0.911764705882353	0.962962962962963	0.971428571428571	0.333333333333333	0.368421052631579	0.380952380952381	0.0714285714285714	0.0714285714285714	0.0357142857142857	0	0.1	0	0.315789473684211	0.192307692307692	0.166666666666667	0	0.161290322580645	0.117647058823529	0.0882352941176471	0.0370370370370371	0.0285714285714286
"21"	"Instructions"	1	1	1	1	0	0	0	0	0	0.138888888888889	0.131578947368421	0.305555555555556	0.411764705882353	0.333333333333333	0.405405405405405	0.378378378378378	0.314285714285714	0.5	0	0	0	0	1	1	1	1	1	0.861111111111111	0.868421052631579	0.694444444444444	0.588235294117647	0.666666666666667	0.594594594594595	0.621621621621622	0.685714285714286	0.5
"22"	"No_instructions"	0.8125	0.764705882352941	0.794871794871795	0.722222222222222	0.805555555555556	0.818181818181818	0.837837837837838	0.75	0.787878787878788	0.5	0.459459459459459	0.552631578947368	0.58974358974359	0.447368421052632	0.447368421052632	0.487179487179487	0.621621621621622	0.65625	0.1875	0.235294117647059	0.205128205128205	0.277777777777778	0.194444444444444	0.181818181818182	0.162162162162162	0.25	0.212121212121212	0.5	0.540540540540541	0.447368421052632	0.41025641025641	0.552631578947368	0.552631578947368	0.512820512820513	0.378378378378378	0.34375
"23"	"Instructions"	1	1	1	1	0	0	0	0	0	0.911764705882353	0.918918918918919	0.885714285714286	0.846153846153846	0.694444444444444	0.594594594594595	0.615384615384615	0.631578947368421	0.40625	0	0	0	0	1	1	1	1	1	0.0882352941176471	0.081081081081081	0.114285714285714	0.153846153846154	0.305555555555556	0.405405405405405	0.384615384615385	0.368421052631579	0.59375
"24"	"No_instructions"	0.931034482758621	0.96875	0.96875	1	1	0.96875	1	1	1	1	1	1	1	1	1	1	1	1	0.0689655172413793	0.03125	0.03125	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"Instructions"	1	1	1	1	1	0	0	0	0	0.5	0.5	0.40625	0.342105263157895	0.361111111111111	0.222222222222222	0.297297297297297	0.181818181818182	0.117647058823529	0	0	0	0	0	1	1	1	1	0.5	0.5	0.59375	0.657894736842105	0.638888888888889	0.777777777777778	0.702702702702703	0.818181818181818	0.882352941176471
"26"	"No_instructions"	0.481481481481481	0.689655172413793	0.548387096774194	0.44	0.416666666666667	0.36	0.44	0.5	0.233333333333333	0.321428571428571	0.407407407407407	0.269230769230769	0.181818181818182	0.0689655172413793	0.1875	0.2	0.233333333333333	0.103448275862069	0.518518518518519	0.310344827586207	0.451612903225806	0.56	0.583333333333333	0.64	0.56	0.5	0.766666666666667	0.678571428571429	0.592592592592593	0.730769230769231	0.818181818181818	0.931034482758621	0.8125	0.8	0.766666666666667	0.896551724137931
"3"	"Instructions"	1	1	1	1	0	0	0	0	0	0.961538461538462	1	1	0.935483870967742	0.966666666666667	0.967741935483871	0.96969696969697	0.939393939393939	0.875	0	0	0	0	1	1	1	1	1	0.0384615384615384	0	0	0.0645161290322581	0.0333333333333333	0.032258064516129	0.0303030303030303	0.0606060606060606	0.125
"4"	"No_instructions"	0	0	0	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0.04	1	1	1	1	0.971428571428571	1	1	1	1	1	1	1	1	1	1	1	1	0.96
"5"	"Instructions"	1	1	1	1	0	0	0	0	0	0.421052631578947	0.324324324324324	0.5	0.459459459459459	0.297297297297297	0.368421052631579	0.275	0.333333333333333	0.166666666666667	0	0	0	0	1	1	1	1	1	0.578947368421053	0.675675675675676	0.5	0.540540540540541	0.702702702702703	0.631578947368421	0.725	0.666666666666667	0.833333333333333
"6"	"No_instructions"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"7"	"Instructions"	1	1	1	1	0	0	0	0	0	0	0	0.0263157894736842	0.0285714285714286	0	0	0.0256410256410256	0	0	0	0	0	0	1	1	1	1	1	1	1	0.973684210526316	0.971428571428571	1	1	0.974358974358974	1	1
"8"	"No_instructions"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"9"	"Instructions"	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
