"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"113"	7	"first"	1	"1"	1.09453231215461	"No_instructions"	0.70199201025457	"Expected"
"114"	7	"first"	2	"2"	2.15847128479618	"No_instructions"	0.685185186282714	"Expected"
"115"	7	"first"	2.5	"284"	2.82705410220499	"No_instructions"	0.69166666666667	"Expected"
"116"	7	"first"	3	"3"	3.2524185571131	"No_instructions"	0.683823529411765	"Expected"
"117"	7	"first"	4	"640"	13.5876250450242	"No_instructions"	0.616071428571429	"Expected"
"118"	7	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.75	"Expected"
"119"	7	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.765624999998322	"Expected"
"120"	7	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	0.75	"Expected"
"121"	7	"second"	0	"0"	0	"No_instructions"	0.752397823318757	"Expected"
"122"	7	"second"	1	"1"	1.09453231215461	"No_instructions"	0.742483597565109	"Expected"
"123"	7	"second"	2	"2"	2.15847128479618	"No_instructions"	0.734375000264583	"Expected"
"124"	7	"second"	2.5	"284"	2.82705410220499	"No_instructions"	0.727272727272729	"Expected"
"125"	7	"second"	3	"3"	3.2524185571131	"No_instructions"	0.735714285714286	"Expected"
"126"	7	"second"	4	"640"	13.5876250450242	"No_instructions"	0.735294117647059	"Expected"
"127"	8	"first"	-3	"-3"	-3.22203821588321	"Instructions"	0.942473390758753	"Expected"
"128"	8	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.903162022000102	"Expected"
"129"	8	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0.849091965173385	"Expected"
"130"	8	"first"	0	"0"	0	"Instructions"	0.786404326396825	"Expected"
"131"	8	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"132"	8	"first"	1.5	"284"	1.64173606272954	"Instructions"	0.75	"Expected"
"133"	8	"first"	2	"2"	2.15847128479618	"Instructions"	0.75	"Expected"
"134"	8	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"135"	8	"first"	4	"640"	12.4170573964096	"Instructions"	0.75	"Expected"
"136"	8	"second"	-3	"-3"	-3.22203821588321	"Instructions"	0.932069423690713	"Expected"
"137"	8	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.899131442473784	"Expected"
"138"	8	"second"	-1	"-1"	-1.06413040966505	"Instructions"	0.838661231997239	"Expected"
"139"	8	"second"	0	"0"	0	"Instructions"	0.785333610914565	"Expected"
"140"	8	"second"	1	"1"	1.09453231215461	"Instructions"	0.723090659803177	"Expected"
"141"	8	"second"	1.5	"284"	1.64173606272954	"Instructions"	0.689986784530564	"Expected"
"142"	8	"second"	2	"2"	2.15847128479618	"Instructions"	0.670609892552313	"Expected"
"143"	8	"second"	3	"3"	3.2524185571131	"Instructions"	0.629054521356948	"Expected"
"144"	8	"second"	4	"640"	12.4170573964096	"Instructions"	0.541703738518317	"Expected"
"145"	9	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.790930556459307	"Expected"
