"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"mean_fix_pos"	"box"	"fix_type"
"83"	"14"	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"84"	"14"	"second"	-1	"-1"	-1.06413040966505	"No_instructions"	1	"Centre"	"Optimal"
"85"	"14"	"second"	0	"0"	0	"No_instructions"	1	"Centre"	"Optimal"
"86"	"14"	"second"	0.5	"284"	0.942521344413154	"No_instructions"	0	"Centre"	"Optimal"
"87"	"14"	"second"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"88"	"14"	"second"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"89"	"14"	"second"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"90"	"14"	"second"	4	"640"	11.7254852148345	"No_instructions"	0	"Centre"	"Optimal"
"91"	"15"	"first"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"92"	"15"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"93"	"15"	"first"	-1	"-1"	-1.06413040966505	"Instructions"	1	"Centre"	"Optimal"
"94"	"15"	"first"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"95"	"15"	"first"	0.5	"284"	0.760103851360247	"Instructions"	0	"Centre"	"Optimal"
"96"	"15"	"first"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"97"	"15"	"first"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"98"	"15"	"first"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"99"	"15"	"first"	4	"640"	11.5449319601529	"Instructions"	0	"Centre"	"Optimal"
"100"	"15"	"second"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"101"	"15"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"102"	"15"	"second"	-1	"-1"	-1.06413040966505	"Instructions"	1	"Centre"	"Optimal"
"103"	"15"	"second"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"104"	"15"	"second"	0.5	"284"	0.760103851360247	"Instructions"	0	"Centre"	"Optimal"
"105"	"15"	"second"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"106"	"15"	"second"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"107"	"15"	"second"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"108"	"15"	"second"	4	"640"	11.5449319601529	"Instructions"	0	"Centre"	"Optimal"
"109"	"16"	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"110"	"16"	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"111"	"16"	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	1	"Centre"	"Optimal"
"112"	"16"	"first"	0	"0"	0	"No_instructions"	1	"Centre"	"Optimal"
"113"	"16"	"first"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"114"	"16"	"first"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"115"	"16"	"first"	2.5	"284"	2.82705410220499	"No_instructions"	0	"Centre"	"Optimal"
"116"	"16"	"first"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"117"	"16"	"first"	4	"640"	13.5876250450242	"No_instructions"	0	"Centre"	"Optimal"
"118"	"16"	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"119"	"16"	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"120"	"16"	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	1	"Centre"	"Optimal"
"121"	"16"	"second"	0	"0"	0	"No_instructions"	1	"Centre"	"Optimal"
"122"	"16"	"second"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"123"	"16"	"second"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"124"	"16"	"second"	2.5	"284"	2.82705410220499	"No_instructions"	0	"Centre"	"Optimal"
"125"	"16"	"second"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"126"	"16"	"second"	4	"640"	13.5876250450242	"No_instructions"	0	"Centre"	"Optimal"
"127"	"17"	"first"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"128"	"17"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"129"	"17"	"first"	-1	"-1"	-1.06413040966505	"Instructions"	1	"Centre"	"Optimal"
"130"	"17"	"first"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"131"	"17"	"first"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"132"	"17"	"first"	1.5	"284"	1.64173606272954	"Instructions"	0	"Centre"	"Optimal"
"133"	"17"	"first"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"134"	"17"	"first"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"135"	"17"	"first"	4	"640"	12.4170573964096	"Instructions"	0	"Centre"	"Optimal"
"136"	"17"	"second"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"137"	"17"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"138"	"17"	"second"	-1	"-1"	-1.06413040966505	"Instructions"	1	"Centre"	"Optimal"
"139"	"17"	"second"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"140"	"17"	"second"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"141"	"17"	"second"	1.5	"284"	1.64173606272954	"Instructions"	0	"Centre"	"Optimal"
"142"	"17"	"second"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"143"	"17"	"second"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"144"	"17"	"second"	4	"640"	12.4170573964096	"Instructions"	0	"Centre"	"Optimal"
"145"	"18"	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"146"	"18"	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"147"	"18"	"first"	-1.5	"284"	-2.12807732003173	"No_instructions"	1	"Centre"	"Optimal"
"148"	"18"	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"149"	"18"	"first"	0	"0"	0	"No_instructions"	0	"Centre"	"Optimal"
"150"	"18"	"first"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"151"	"18"	"first"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"152"	"18"	"first"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"153"	"18"	"first"	4	"640"	8.67908175351893	"No_instructions"	0	"Centre"	"Optimal"
"154"	"18"	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"155"	"18"	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"156"	"18"	"second"	-1.5	"284"	-2.12807732003173	"No_instructions"	1	"Centre"	"Optimal"
"157"	"18"	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"158"	"18"	"second"	0	"0"	0	"No_instructions"	0	"Centre"	"Optimal"
"159"	"18"	"second"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"160"	"18"	"second"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"161"	"18"	"second"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"162"	"18"	"second"	4	"640"	8.67908175351893	"No_instructions"	0	"Centre"	"Optimal"
"163"	"19"	"first"	-3	"-3"	-3.2524185571131	"Instructions"	1	"Centre"	"Optimal"
"164"	"19"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"165"	"19"	"first"	-1	"-1"	-1.09453231215461	"Instructions"	1	"Centre"	"Optimal"
"166"	"19"	"first"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"167"	"19"	"first"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"168"	"19"	"first"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"169"	"19"	"first"	2.5	"284"	2.82705410220499	"Instructions"	0	"Centre"	"Optimal"
"170"	"19"	"first"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"171"	"19"	"first"	4	"640"	13.5876250450242	"Instructions"	0	"Centre"	"Optimal"
"172"	"19"	"second"	-3	"-3"	-3.2524185571131	"Instructions"	1	"Centre"	"Optimal"
"173"	"19"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"174"	"19"	"second"	-1	"-1"	-1.09453231215461	"Instructions"	1	"Centre"	"Optimal"
"175"	"19"	"second"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"176"	"19"	"second"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"177"	"19"	"second"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"178"	"19"	"second"	2.5	"284"	2.82705410220499	"Instructions"	0	"Centre"	"Optimal"
"179"	"19"	"second"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"180"	"19"	"second"	4	"640"	13.5876250450242	"Instructions"	0	"Centre"	"Optimal"
"181"	"20"	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"182"	"20"	"first"	-2	"-2"	-2.1888649458271	"No_instructions"	1	"Centre"	"Optimal"
"183"	"20"	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	1	"Centre"	"Optimal"
"184"	"20"	"first"	0	"0"	0	"No_instructions"	0	"Centre"	"Optimal"
"185"	"20"	"first"	1	"1"	1.06413040966505	"No_instructions"	0	"Centre"	"Optimal"
"186"	"20"	"first"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"187"	"20"	"first"	2.5	"284"	2.82705410220499	"No_instructions"	0	"Centre"	"Optimal"
"188"	"20"	"first"	3	"3"	3.22203821588321	"No_instructions"	0	"Centre"	"Optimal"
"189"	"20"	"first"	4	"640"	13.5876250450242	"No_instructions"	0	"Centre"	"Optimal"
"190"	"20"	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"191"	"20"	"second"	-2	"-2"	-2.1888649458271	"No_instructions"	1	"Centre"	"Optimal"
"192"	"20"	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	1	"Centre"	"Optimal"
"193"	"20"	"second"	0	"0"	0	"No_instructions"	0	"Centre"	"Optimal"
"194"	"20"	"second"	1	"1"	1.06413040966505	"No_instructions"	0	"Centre"	"Optimal"
"195"	"20"	"second"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"196"	"20"	"second"	2.5	"284"	2.82705410220499	"No_instructions"	0	"Centre"	"Optimal"
"197"	"20"	"second"	3	"3"	3.22203821588321	"No_instructions"	0	"Centre"	"Optimal"
"198"	"20"	"second"	4	"640"	13.5876250450242	"No_instructions"	0	"Centre"	"Optimal"
"199"	"21"	"first"	-3	"-3"	-3.2524185571131	"Instructions"	1	"Centre"	"Optimal"
"200"	"21"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
